identificador,tipo_de_subasta,cuenta_expediente,fecha_de_inicio,fecha_de_conclusion,cantidad_reclamada,anuncio_BOE,valor_subasta,tasacion,puja_minima,tramos_entre_pujas,importe_del_deposito,direccion,codigo_postal,localidad,provincia,puja,pm2,difference,prediccion_puja
SUB-JA-2022-188552,JUDICIAL EN VÍA DE APREMIO,4321 0000 64 0185 19,18-02-2022,10-03-2022,1437,BOE-B-2022-4471,3695,4105,0,73,184,CALLE SALASIERRA 13 PISO sSTO.PLANTA ss PUERTA d,28026,MADRID,Madrid,2660,2304,2258,15458
SUB-JV-2022-187989,JUDICIAL VOLUNTARIA,1772 0000 05 0264 21,18-02-2022,10-03-2022,0,BOE-B-2022-4431,45000,0,0,900,2250,"Calle Chorrera nº 9, Parroquia de Santa Catalina",18300,LOJA,Granada,6300,661,45000,25823
SUB-JA-2021-180420,JUDICIAL EN VÍA DE APREMIO,4356 0000 05 1066 19,18-02-2022,10-03-2022,25511,BOE-B-2022-4456,135000,135000,0,2700,6750,"Plaza de Gomila, 3 Poligono Aeropuesto de Sevilla",41020,SEVILLA,Sevilla,81000,1949,109489,75414
SUB-JA-2022-188448,JUDICIAL EN VÍA DE APREMIO,1583 0000 05 0263 12,18-02-2022,10-03-2022,43710,BOE-B-2022-4454,102785,0,0,2055,5139,"RUA TOURO, 49, 1º IZQ",15704,SANTIAGO DE COMPOSTELA,A Coruña,30835,1921,59075,70201
SUB-JA-2022-188240,JUDICIAL EN VÍA DE APREMIO,0544 0000 05 0646 09,18-02-2022,10-03-2022,21000,BOE-B-2022-4405,36830,0,0,736,1841,GUIPUZCOA 94-96 7º 1ª,8020,BARCELONA,Barcelona,20624,2767,15830,29104
SUB-JA-2021-175437,JUDICIAL EN VÍA DE APREMIO,4419 0000 06 0892 16,18-02-2022,10-03-2022,82998,BOE-B-2022-4445,173700,173700,0,0,8685,PASEO DOLORES SORIA Nº 9 2º DERECHO INTERIOR LETRA D,28320,PINTO,Madrid,102042,2103,90702,94853
SUB-JA-2022-186786,JUDICIAL EN VÍA DE APREMIO,4252 0000 06 6182 18,18-02-2022,10-03-2022,127887,BOE-B-2022-4411,184604,0,0,3692,9230,CL SANTIAGO Nº 6 ENTLO 4º,8290,CERDANYOLA DEL VALLES,Barcelona,92302,2559,56717,108763
SUB-JA-2018-110366,JUDICIAL EN VÍA DE APREMIO,1412 0000 06 0023 16,18-02-2022,10-03-2022,59006,BOE-B-2022-4461,100930,100930,0,2018,5046,AVDA PRIMERO DE JULIO N78,13300,VALDEPEÑAS,Ciudad Real,32297,810,41924,58163
SUB-JA-2021-183495,JUDICIAL EN VÍA DE APREMIO,1333 0000 06 0581 18,17-02-2022,09-03-2022,76249,BOE-B-2022-4261,35806,0,0,0,1790,"CALLE MONCOFAR Nº 7, 1º",12594,OROPESA DEL MAR,Castellón/Castelló,35590,1440,-40443,317846
SUB-JA-2022-187222,JUDICIAL EN VÍA DE APREMIO,2459 0000 00 0277 20,17-02-2022,09-03-2022,117207,BOE-B-2022-4283,140590,0,200,2811,7029,"Calle Salitre, 25 - Puerta: A",28012,Madrid,Madrid,118295,4607,23383,166882
SUB-JA-2022-187409,JUDICIAL EN VÍA DE APREMIO,2227 0000 05 0147 12,17-02-2022,09-03-2022,188364,BOE-B-2022-4321,379360,0,0,7587,18968,EDIFICIO MARBELLA DEL ESTE APARTAMENTO DERECHA LETRA J PLANTA CUARTA,29604,MARBELLA,Málaga,212441,2833,190996,217562
SUB-JA-2022-188249,JUDICIAL EN VÍA DE APREMIO,0865 0000 05 0532 20,17-02-2022,09-03-2022,266402,BOE-B-2022-4313,508714,0,0,10174,25435,"Les Fonts, 18 BIS",8033,VACARISSES,Barcelona,325576,1991,242312,284512
SUB-JA-2022-187676,JUDICIAL EN VÍA DE APREMIO,0901 0000 06 0211 14,17-02-2022,09-03-2022,464559,BOE-B-2022-4317,926750,0,0,18535,46337,"Calle Enrique Granados, 5",8870,Sitges,Barcelona,463375,4446,462191,574134
SUB-JA-2022-187999,JUDICIAL EN VÍA DE APREMIO,2925 0000 06 0722 21,17-02-2022,09-03-2022,156261,BOE-B-2022-4270,271116,0,0,5422,13555,"CALLE MAR ATLÁNTICO, Nº 2, ESC 5, BQ 5, PL ÁTICO, PTA 2",29649,MIJAS,Málaga,319916,2710,114855,145660
SUB-JA-2021-183877,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0510 16,15-02-2022,08-03-2022,174409,BOE-B-2022-4013,107282,0,0,0,5364,"C/ MIRASIERRA Nº 35, 2º B, MADRID 28026",28026,MADRID,Madrid,150000,2304,-67127,98017
SUB-JA-2022-187949,JUDICIAL EN VÍA DE APREMIO,4725 0000 05 0273 19,15-02-2022,08-03-2022,30000,BOE-B-2022-3929,391199,0,0,0,19559,Avenida Lehendakari Leizaola nº 9,48001,Bilbao,Bizkaia,195200,5215,361199,254362
SUB-JA-2022-188197,JUDICIAL EN VÍA DE APREMIO,1139 0000 78 0379 12,15-02-2022,07-03-2022,15520,BOE-B-2022-4122,15243,15243,0,304,762,"CALLE GARCIA DE PAREDES, 18",10004,CACERES,Cáceres,3963,1250,-277,13305
SUB-JA-2022-187947,JUDICIAL EN VÍA DE APREMIO,3695 0000 06 0044 21,15-02-2022,07-03-2022,167080,BOE-B-2022-4071,231500,231500,0,0,11575,C/ CHURRUCA Nº 33,37008,SALAMANCA,Salamanca,171000,1455,64420,128337
SUB-JA-2022-187622,JUDICIAL EN VÍA DE APREMIO,1555 0000 06 0229 15,15-02-2022,07-03-2022,169601,BOE-B-2022-3960,189400,0,0,3788,9470,"calle Santos núm. 3, 3º H1",15401,Ferrol,A Coruña,11364,929,19799,110815
SUB-JA-2022-186678,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0017 20,15-02-2022,07-03-2022,78361,BOE-B-2022-4012,97043,0,0,0,4852,"C/ ALCARAVÁN, Nº 11, ESC. 1, BAJO DRCHA.",28047,MADRID,Madrid,77000,2471,18682,90388
SUB-JV-2022-187582,JUDICIAL VOLUNTARIA,2995 0000 05 0803 20,15-02-2022,07-03-2022,223000,BOE-B-2022-4029,223000,0,0,4460,11150,ALOHA GARDEN BLOQUE 15 BAJO 170,29660,MARBELLA,Málaga,249760,3904,0,541212
SUB-JA-2022-187563,JUDICIAL EN VÍA DE APREMIO,2995 0000 05 0447 18,15-02-2022,07-03-2022,308000,BOE-B-2022-4028,440100,0,0,8802,22005,COMPLEJO RESIDENCIAL PAISO PARK,29679,BENAHAVIS,Málaga,70416,3119,132100,214521
SUB-JA-2021-185844,JUDICIAL EN VÍA DE APREMIO,2374 0000 05 0168 21,15-02-2022,07-03-2022,31314,BOE-B-2022-3965,86545,0,0,1730,4327,"C/ DE LA ESTACION Nº 1, 2º F",28946,FUENLABRADA,Madrid,88276,1575,55231,59956
SUB-JA-2021-185765,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0062 21,15-02-2022,07-03-2022,130426,BOE-B-2022-4011,210000,0,0,0,10500,"CALLE JOSE DE CADALSO 82, ESCALERA B, 5ºA FINCA 46470",28044,MADRID,Madrid,136947,2357,79574,113773
SUB-JA-2022-187983,JUDICIAL EN VÍA DE APREMIO,2674 0000 06 0341 20,15-02-2022,07-03-2022,79853,BOE-B-2022-4036,250883,0,0,5017,12544,"CALLE CARLOS ARNICHES 2, 4 C",28935,MOSTOLES,Madrid,80282,2000,171030,112756
SUB-JA-2022-188146,JUDICIAL EN VÍA DE APREMIO,2134 0000 05 0126 17,15-02-2022,07-03-2022,56466,BOE-B-2022-4002,3523,0,0,0,176,C/NORTE 7,24235,VILLAQUEJIDA,León,3523,443,-52943,48914
SUB-JA-2022-188082,JUDICIAL EN VÍA DE APREMIO,1806 0000 06 0167 21,15-02-2022,07-03-2022,156751,BOE-B-2022-3977,58318,0,0,1166,2915,CALLE TENDEDERO Nº 14,19292,ESPINOSA DE HENARES,Guadalajara,102639,627,-98433,56269
SUB-JA-2022-186452,JUDICIAL EN VÍA DE APREMIO,0181 0000 06 0337 15,15-02-2022,07-03-2022,49508,BOE-B-2022-4039,92137,92137,0,1842,4606,calle Obispo Alcaraz Alenda y vuelta a la calle Sagunto formando chaflan en la confluencia de dichas calles con acceso por el portal número 52,3680,ASPE,Alicante/Alacant,62653,760,42629,52940
SUB-JA-2022-185828,JUDICIAL EN VÍA DE APREMIO,0258 0000 06 0625 18,15-02-2022,07-03-2022,77213,BOE-B-2022-4066,208725,0,0,4174,10436,"C/ EDIMBURGO, Nº 5, 3º, PTA 66",4720,AGUADULCE. ROQUETAS DE MAR,Almería,125235,1333,131512,98219
SUB-JA-2022-187438,JUDICIAL EN VÍA DE APREMIO,0059 0000 06 0344 20,15-02-2022,07-03-2022,62959,BOE-B-2022-3964,177400,0,0,3548,8870,PASEO LISBOA 27,28943,FUENLABRADA,Madrid,85152,1966,114441,91245
SUB-JA-2022-187865,JUDICIAL EN VÍA DE APREMIO,3922 0000 05 0108 17,15-02-2022,07-03-2022,113504,BOE-B-2022-4079,144600,0,0,2892,7230,"CALLE DE NUEVO TRAZADO, UNIDAD DE EJECUCIÓN 1.7 ""JUAN DE MONJARAZ""",40400,EL ESPINAR,Segovia,69408,1137,31096,81782
SUB-JA-2022-187347,JUDICIAL EN VÍA DE APREMIO,2371 0000 13 0012 18,15-02-2022,07-03-2022,198439,BOE-B-2022-3942,242697,0,0,4853,12134,"CARRETERA DE LA ESTACIÓN, PARQUE DE VERGARA S/N, BLOQUE NUMERO DOS, PORTAL B",28250,TORRELODONES,Madrid,53393,3000,44258,134231
SUB-JA-2022-187862,JUDICIAL EN VÍA DE APREMIO,3793 0000 06 0026 17,15-02-2022,07-03-2022,36540,BOE-B-2022-3906,92258,0,0,1845,4612,CALLE PINTOR GISBERT Nº21,3005,ALICANTE,Alicante/Alacant,38748,1654,55718,64439
SUB-JA-2021-169096,JUDICIAL EN VÍA DE APREMIO,1297 0000 06 0394 16,15-02-2022,07-03-2022,132337,BOE-B-2022-4072,252811,252811,0,5056,12640,PARCELA 11 DEL PLAN 22 DE LAS MANZANAS DE EDIFICACION PRIVADA DEL PLAN PARCIAL DEL AREA MI-023 EN GUADIARO,11311,GUADIARO-SAN ROQUE,Cádiz,55618,1992,120474,129141
SUB-JA-2022-187956,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0635 15,15-02-2022,07-03-2022,215109,BOE-B-2022-4020,449600,0,0,8992,22480,"Calle Alejandro Villegas nº 35, 2º A",28043,Madrid,Madrid,305728,4418,234491,288113
SUB-JA-2022-187273,JUDICIAL EN VÍA DE APREMIO,0703 0000 06 1014 16,15-02-2022,07-03-2022,243349,BOE-B-2022-3928,547500,0,0,10950,27375,PLA DEL PI,3503,BENIDORM,Alicante/Alacant,350400,2410,304151,357276
SUB-JA-2022-187816,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0066 20,15-02-2022,07-03-2022,144654,BOE-B-2022-4018,319173,0,0,0,15958,"CALLE PUERTO DE BALBARAN Nº 39, 4º IZ FINCA 17394",28018,MADRID,Madrid,159586,2005,174519,142943
SUB-JA-2021-185914,JUDICIAL EN VÍA DE APREMIO,0541 0541 00 8240 16,15-02-2022,07-03-2022,283590,BOE-B-2022-3923,365335,0,0,0,18266,"C/ ROBREÑO, 60-62, 2º,4º",8014,BARCELONA,Barcelona,248537,3516,81745,202970
SUB-JA-2022-187092,JUDICIAL EN VÍA DE APREMIO,0419 0000 05 0214 16,15-02-2022,07-03-2022,182683,BOE-B-2022-3985,383614,0,0,7672,19180,AVDA DE LA MOLA-BLOQUE 3-PISO 1º-PTA A-S/N PILAR DE LA MORA FORMENTERA,7872,FORMENTERA,Illes Balears,314563,6541,200931,307479
SUB-JA-2022-187759,JUDICIAL EN VÍA DE APREMIO,4513 0000 02 1673 20,15-02-2022,07-03-2022,81912,BOE-B-2022-4166,170640,0,0,0,8532,C/. ACORAZADO Nº 2- ESC. 1- PISO 3- PTA. 11,46009,VALENCIA,Valencia/València,70000,1778,88728,94853
SUB-JA-2022-186593,JUDICIAL EN VÍA DE APREMIO,1439 0000 00 1794 11,25-01-2022,06-03-2022,208700,BOE-B-2022-1571,522270,0,0,0,26113,"CALLE CARMEN RICO GODY 2-, 5º-A",14006,CORDOBA,Córdoba,261136,1721,313570,283235
SUB-JA-2022-187430,JUDICIAL EN VÍA DE APREMIO,0167 0000 06 0808 20,11-02-2022,03-03-2022,131197,BOE-B-2022-3594,191857,0,0,3837,9592,"Calle Rastro, 3-A",3203,Madrid,Alicante/Alacant,138137,1603,60660,104104
SUB-JA-2022-187395,JUDICIAL EN VÍA DE APREMIO,3527 0000 06 1397 20,11-02-2022,03-03-2022,68702,BOE-B-2022-3601,201000,0,0,4020,10050,"Plaça Dr. Doctor Robert, nº 7 1º 2ª",8182,Sant Feliu de Codines,Barcelona,80400,1611,132298,96775
SUB-JA-2022-187727,JUDICIAL EN VÍA DE APREMIO,3037 0000 06 0513 21,11-02-2022,03-03-2022,92014,BOE-B-2022-3634,251300,0,0,50,12565,AVENIDA DE CIBELES 1 ESCALERA 7 BLOQUE 3 PLANTA 1 LETRA A,29639,BENALMADENA,Málaga,111000,2768,159286,135479
SUB-JA-2018-95917,JUDICIAL EN VÍA DE APREMIO,1257 0000 06 1232 11,11-02-2022,03-03-2022,32601,BOE-B-2022-3604,74403,0,0,0,3720,PLAZA YUNQUE BLOQUE 1-3ºA,11408,JEREZ DE LA FRONTERA,Cádiz,44642,829,41802,51888
SUB-JA-2021-172682,JUDICIAL EN VÍA DE APREMIO,3033 0000 06 0650 18,11-02-2022,03-03-2022,117999,BOE-B-2022-3616,244582,0,0,4891,12229,"AVD. DEL GOLF. S/, URB. AÑORETA GOLF, BLOQUE B, ATICO C",29730,RINCON DE LA VICTORIA,Málaga,122291,2578,126583,127138
SUB-JV-2021-182675,JUDICIAL VOLUNTARIA,2438 0000 05 0256 17,11-02-2022,03-03-2022,0,BOE-B-2022-3613,385223,385223,0,7704,19261,CARTAGENA 22 3º IZDA,28028,MADRID,Madrid,346700,4933,385223,321081
SUB-JA-2022-187768,JUDICIAL EN VÍA DE APREMIO,5324 0000 06 0275 21,11-02-2022,03-03-2022,76326,BOE-B-2022-3583,125837,125837,0,0,6291,"C/ DOS DEMAYO 19, 1º IZ",9006,BURGOS,Burgos,81505,1941,49511,86096
SUB-JC-2022-186420,JUDICIAL CONCURSAL,2231 0000 52 0450 14,10-02-2022,02-03-2022,0,BOE-B-2022-3464,85644,0,0,0,4282,"Calle Nino Bravo, número 54, Bloque 4, 3º B - Residencial Turaniana de Aguadulce",4720,Roquetas de Mar,Almería,35000,1333,85644,55413
SUB-JA-2022-186870,JUDICIAL EN VÍA DE APREMIO,3570 0000 06 0017 21,10-02-2022,02-03-2022,21670,BOE-B-2022-3441,105647,0,0,2112,5282,PARADA-PARDEMARIN,36686,A ESTRADA,Pontevedra,21129,1200,83977,52044
SUB-JA-2021-182629,JUDICIAL EN VÍA DE APREMIO,3428 0000 05 0059 17,10-02-2022,02-03-2022,16681,BOE-B-2022-3431,52279,0,0,1045,2613,calle Mayor4 nº34 esc.E 1ºA,34886,VELILLA DEL RIO CARRION,Palencia,11501,824,35598,26628
SUB-JA-2021-177980,JUDICIAL EN VÍA DE APREMIO,3611 0000 05 0862 14,10-02-2022,02-03-2022,332282,BOE-B-2022-3443,91689,0,0,1833,4584,Miquel Romeu nº 122 3-1,8907,Hospitalet de Llobregat,Barcelona,93523,2333,-240593,85919
SUB-JA-2022-187208,JUDICIAL EN VÍA DE APREMIO,3058 0000 06 1006 15,08-02-2022,01-03-2022,46624,BOE-B-2022-3134,77218,0,0,0,3860,URBANIZACION HUERTA PRIMERA 29,21400,AYAMONTE,Huelva,133000,1131,30594,50797
SUB-JA-2022-186454,JUDICIAL EN VÍA DE APREMIO,4513 0000 19 0050 20,08-02-2022,01-03-2022,368868,BOE-B-2022-3276,515500,515500,0,0,25775,C/CUENCA Nº13-7º-13ª,46008,VALENCIA,Valencia/València,236000,2396,146632,318076
SUB-JA-2022-187162,JUDICIAL EN VÍA DE APREMIO,0785 0000 06 1095 14,08-02-2022,01-03-2022,233351,BOE-B-2022-3202,626072,0,0,0,31303,PARCELA 19 DE LA URBANIZACIÓN LA SOLAYA,8328,ALELLA,Barcelona,520000,3547,392721,403336
SUB-JA-2022-187268,JUDICIAL EN VÍA DE APREMIO,4180 0000 05 0246 20,08-02-2022,28-02-2022,21203,BOE-B-2022-3129,57661,0,0,0,2883,"c/ Doctor Ferrán, nº 41 planta 3ª, del edificio (Linda, entrando a la misma, por el frente, con zona de acceso, hueco de ascensor, la vivienda nº2 de la misma planta y patio de luces; por la dcha, con vivienda nº 4 de la misma planta; por la izq, con c/Do",43540,SANT CARLES DE LA RÀPITA,Tarragona,43480,1208,36458,31863
SUB-JA-2022-187546,JUDICIAL EN VÍA DE APREMIO,4513 0000 21 1467 19,08-02-2022,28-02-2022,70642,BOE-B-2022-3277,208000,0,0,0,10400,"C/. JOSE SIURANA, ESQUINA A CALLE EN PROYECTO, Nº 16",46026,VALENCIA,Valencia/València,60000,1852,137358,98091
SUB-JA-2022-187552,JUDICIAL EN VÍA DE APREMIO,1692 0000 06 0642 16,08-02-2022,28-02-2022,132087,BOE-B-2022-3226,391264,0,0,7825,19563,"calle de la Iglesia, 4, tercero",17252,Platja d Aro,Girona,179981,3198,259177,232015
SUB-JA-2021-177042,JUDICIAL EN VÍA DE APREMIO,0250 0000 05 0746 13,08-02-2022,28-02-2022,12301,BOE-B-2022-3161,58874,0,0,1177,2943,"CL CELIN,3ºC (ATICO)",4700,EL EJIDO,Almería,32969,944,46573,32085
SUB-JA-2022-187218,JUDICIAL EN VÍA DE APREMIO,0183 0000 06 0234 21,08-02-2022,28-02-2022,44045,BOE-B-2022-3207,91214,0,0,1824,4560,"CALLE INFANTA CRISTINA 6, 4, 2ºB",3177,SAN FULGENCIO,Alicante/Alacant,56552,1333,47169,58250
SUB-JA-2021-185783,JUDICIAL EN VÍA DE APREMIO,3490 0000 05 0222 17,08-02-2022,28-02-2022,151862,BOE-B-2022-3184,151862,0,0,3037,7593,PASEO DE LOS MARTIRES Nº 159,35018,LAS PALMAS DE GRAN CANARIA,Las Palmas,60744,1488,0,85609
SUB-JA-2022-187634,JUDICIAL EN VÍA DE APREMIO,0080 0000 06 0963 19,08-02-2022,28-02-2022,168447,BOE-B-2022-3163,265821,0,0,5316,13291,"Av. Chafarinas, 17-A",3610,PETRER,Alicante/Alacant,148859,706,97374,133246
SUB-JA-2022-187459,JUDICIAL EN VÍA DE APREMIO,1700 0000 05 0287 19,08-02-2022,28-02-2022,85685,BOE-B-2022-3201,222137,0,0,4442,11106,"CALLE REY DON JAIME 3, ESC. 3-6-12",46139,POBLA DE FARNALS,Valencia/València,4442,1099,136452,108379
SUB-JA-2022-187550,JUDICIAL EN VÍA DE APREMIO,3770 0000 06 0130 15,08-02-2022,28-02-2022,51147,BOE-B-2022-3208,100137,0,0,2002,5006,": URBANIZACIÓN LAS MONJAS, BARRIO DE S. JOSÉ, TÉRMINO MUNICIPAL DE SAN JUAN DE LA RAMBLA (SANTA CRUZ DE TENERIFE)",38428,San Juan de la Rambla,Santa Cruz de Tenerife,62085,966,48990,58846
SUB-JA-2021-185112,JUDICIAL EN VÍA DE APREMIO,0854 0000 06 0263 20,08-02-2022,28-02-2022,107520,BOE-B-2022-3228,152570,0,0,3051,7628,"Avda. Francesc Macià núm. 30, 3º 2ª",8921,SANTA COLOMA DE GRAMANET,Barcelona,82387,2167,45050,93779
SUB-JA-2022-187223,JUDICIAL EN VÍA DE APREMIO,4280 0000 06 0291 17,08-02-2022,28-02-2022,300000,BOE-B-2022-3157,300000,0,0,6000,15000,CALLE VISTA ALEGRE 14,15005,A CORUÑA,A Coruña,600000,2699,0,350113
SUB-JA-2022-187551,JUDICIAL EN VÍA DE APREMIO,0896 0000 05 0871 18,04-02-2022,25-02-2022,0,BOE-B-2022-2909,101678,0,0,2033,5083,Calle Matadero 8 5º 2ª,8720,Vilafranca del Penedés,Barcelona,30503,1882,101678,84092
SUB-JA-2022-186990,JUDICIAL EN VÍA DE APREMIO,2986 0000 06 0389 21,04-02-2022,24-02-2022,61035,BOE-B-2022-2894,76586,0,0,1531,3829,Calle Corredor del Gas 21-6-2,43204,Reus,Tarragona,108752,1258,15551,55349
SUB-JA-2021-185921,JUDICIAL EN VÍA DE APREMIO,0542 0000 06 2273 19,04-02-2022,24-02-2022,484747,BOE-B-2022-2859,484747,0,0,9694,24237,"DALMÀCIA 9, 1-1",8034,BARCELONA,Barcelona,358712,6357,0,394867
SUB-JA-2022-186682,JUDICIAL EN VÍA DE APREMIO,1762 0000 05 0418 15,04-02-2022,24-02-2022,17255,BOE-B-2022-2871,39102,0,0,0,1955,C/SEÑOR DEL PAÑO Nº2,18500,GUADIX,Granada,23461,897,21847,23113
SUB-JA-2021-165825,JUDICIAL EN VÍA DE APREMIO,4513 0000 23 1132 19,04-02-2022,24-02-2022,209031,BOE-B-2022-2922,193050,193050,0,0,9652,C/EN BLANCH Nº9,46003,VALENCIA,Valencia,135350,2804,-15981,121991
SUB-JA-2021-186232,JUDICIAL EN VÍA DE APREMIO,2402 0000 05 0193 20,04-02-2022,24-02-2022,247655,BOE-B-2022-2867,496210,0,0,9924,24810,C/ COSTA RICA 52,28949,FUENLABRADA,Madrid,248105,1721,248555,308320
SUB-JA-2021-186157,JUDICIAL EN VÍA DE APREMIO,0233 0000 06 0239 20,04-02-2022,24-02-2022,16293,BOE-B-2022-2854,60147,60147,0,1202,3007,"C/ENCINAS 54, BLOQUE 1, PLANTA 3",4727,VÍCAR,Almería,21652,1086,43854,36600
SUB-JA-2021-184606,JUDICIAL EN VÍA DE APREMIO,4032 0000 06 1797 18,04-02-2022,24-02-2022,2477057,BOE-B-2022-2902,2821300,0,0,56426,141065,CALLE FERIA 178,41000,SEVILLA,Sevilla,959242,1721,344243,437193
SUB-JA-2021-175133,JUDICIAL EN VÍA DE APREMIO,3735 0000 06 0894 15,04-02-2022,24-02-2022,47784,BOE-B-2022-2888,76610,0,0,1532,3830,"C/ VIRGEN DEL CARMEN 62-64, PISO TERCERO",12520,NULES,Castellón,39837,688,28826,48367
SUB-JA-2021-186389,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0653 14,04-02-2022,24-02-2022,119823,BOE-B-2022-2880,232832,0,0,4656,11641,CALLE VIZCONDE ARLESSON Nº 29 BAJO,28018,MADRID,Madrid,32596,2005,113009,103509
SUB-JA-2022-186717,JUDICIAL EN VÍA DE APREMIO,4861 0000 06 0416 14,04-02-2022,24-02-2022,148679,BOE-B-2022-2908,250475,0,0,5009,12523,C7 Herrería s/n,28191,La Hiruela,Madrid,115218,1505,101796,130383
SUB-JA-2022-187140,JUDICIAL EN VÍA DE APREMIO,3028 0000 00 0572 17,03-02-2022,23-02-2022,63925,BOE-B-2022-2735,166923,0,0,3338,8346,"CL JUAN DE ORTEGA Nº 2, 1º-16",29007,MALAGA,Málaga,83461,2346,102998,96371
SUB-JA-2022-187415,JUDICIAL EN VÍA DE APREMIO,1574 0000 06 0467 17,03-02-2022,23-02-2022,134966,BOE-B-2022-2727,288000,0,1,5760,14400,"Avda Manuel Girona 72, 1º 1ª",8860,Castelldefels,Barcelona,144001,3691,153034,178623
SUB-JA-2020-162623,JUDICIAL EN VÍA DE APREMIO,0080 0000 06 0738 14,01-02-2022,21-02-2022,1800157,BOE-B-2022-2415,2549821,0,0,127491,127491,"Calle José Amat Sempere,1",3600,ELDA,Alicante,637455,649,749664,341443
SUB-JA-2021-186108,JUDICIAL EN VÍA DE APREMIO,5150 0000 06 0693 21,01-02-2022,21-02-2022,143890,BOE-B-2022-2406,159748,0,0,3194,7987,C.CONQUISTADOR RUIZ TAFUR,14010,CORDOBA,Córdoba,54314,1231,15858,92656
SUB-JA-2022-187080,JUDICIAL EN VÍA DE APREMIO,0865 0000 05 0886 19,01-02-2022,21-02-2022,65098,BOE-B-2022-2481,100265,0,0,2005,5013,"SAN CRISPIN,226",8222,TERRASSA,Barcelona,72191,1888,35167,72394
SUB-JA-2022-187027,JUDICIAL EN VÍA DE APREMIO,3291 0000 05 2259 09,01-02-2022,21-02-2022,815,BOE-B-2022-2426,17391,0,0,300,869,"CALLE TORRELODONES, Nº 81, BLOQUE 2, PORTAL 4, PLANTA 3",28250,GALAPAGAR,Madrid,12300,3000,16576,17725
SUB-JA-2022-186966,JUDICIAL EN VÍA DE APREMIO,0765 0000 06 0926 14,01-02-2022,21-02-2022,41413,BOE-B-2022-2431,66905,0,0,1338,3345,C/SANT JAIME Nº1 BO CAN BARRAQUETA,8710,SANTA MARGARIDA DE MONTBUI,Barcelona,48171,1041,25492,50140
SUB-JA-2021-180654,JUDICIAL EN VÍA DE APREMIO,1983 0000 06 0581 20,01-02-2022,21-02-2022,297703,BOE-B-2022-2429,480508,0,0,9610,24025,"Calle Asturias, 7 y 9",22002,HUESCA,Huesca,249864,1456,182805,243070
SUB-JA-2022-186972,JUDICIAL EN VÍA DE APREMIO,4705 0000 00 0806 18,01-02-2022,21-02-2022,77649,BOE-B-2022-2397,121398,0,0,0,6069,TRAVESIA DE LA CONCEPCION NÚM. 24 PRIMERO DERECHA,48003,BILBAO,Bizkaia,124807,2624,43749,92921
SUB-JA-2022-187245,JUDICIAL EN VÍA DE APREMIO,3897 0000 05 0055 20,01-02-2022,21-02-2022,80621,BOE-B-2022-2477,174249,0,0,3484,8712,"C/ RENTERIA REYES, 6",39740,SANTOÑA,Cantabria,104549,1482,93628,90799
SUB-JA-2021-185502,JUDICIAL EN VÍA DE APREMIO,1217 0000 06 0797 19,01-02-2022,21-02-2022,82701,BOE-B-2022-2383,134970,0,0,2699,6748,CL.CARLOS SAURA,11630,ARCOS DE LA FRONTERA,Cádiz,80982,798,52269,73763
SUB-JA-2021-185092,JUDICIAL EN VÍA DE APREMIO,2446 0000 05 0343 19,01-02-2022,21-02-2022,69472,BOE-B-2022-2441,102258,0,0,2045,5112,CALLE JOSUÉ LILLO 16,28018,MADRID,Madrid,59309,2005,32786,55977
SUB-JA-2021-185466,JUDICIAL EN VÍA DE APREMIO,2460 0000 18 0257 18,01-02-2022,21-02-2022,106594,BOE-B-2022-2445,220260,0,0,0,11013,"C/ MATILDE HERNANDEZ, Nº 8, 3º C",28019,MADRID,Madrid,110131,2574,113666,119220
SUB-JA-2022-186722,JUDICIAL EN VÍA DE APREMIO,2368 0000 05 0146 21,01-02-2022,21-02-2022,56300,BOE-B-2022-2461,82946,0,0,1658,4147,"calle Rio Jordan 5, 4ºA",28981,parla,Madrid,63038,1557,26646,70858
SUB-JA-2022-186915,JUDICIAL EN VÍA DE APREMIO,3668 0000 06 0467 19,01-02-2022,21-02-2022,77332,BOE-B-2022-2494,128372,0,0,2567,6418,Dr. Pere Güell Nº 1 DE 1-1,43460,alcover,Tarragona,89860,839,51040,70827
SUB-JA-2022-186821,JUDICIAL EN VÍA DE APREMIO,3685 0000 06 0074 20,01-02-2022,21-02-2022,6711,BOE-B-2022-2470,94911,0,0,0,4745,Calle Teso del Inestal nº24,37184,Villares de la Reina,Salamanca,9000,1299,88200,47266
SUB-JA-2021-179503,JUDICIAL EN VÍA DE APREMIO,3113 0000 05 0047 08,01-02-2022,21-02-2022,1615,BOE-B-2022-2487,2812,281259,0,56,140,AVDA. DEL SOL Nº5,29630,BENALMADENA,Málaga,1518,2969,1197,33735
